@relation blinks1
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute clase {0, 1, 2}
@data
0,0.0030718,0.0080531,0.015442,0.02939,0.024658,0.055293,0.087007,0.17451,0.25106,0.12777,0.065587,0.038522,0.03188,0.024076,0.019178,0.017269,0.013699,0.0085513,0.0049813,0,0.0018265,0.0070569,0.018182,0.039685,0.053217,0.08435,0.12329,0.27547,0.16737,0.086509,0.044085,0.030054,0.025322,0.018182,0.014197,0.0068078,0.0044002,0,0,0,0.0016604,0.0050643,0.017186,0.050892,0.058697,0.086177,0.15118,0.26824,0.17999,0.071399,0.039768,0.021835,0.020091,0.014446,0.007389,0.0059776,0,0,0,0
0,0.0030718,0.0068908,0.019842,0.027812,0.025488,0.050062,0.089747,0.17244,0.2577,0.1252,0.066169,0.036364,0.032296,0.023744,0.018348,0.016355,0.013782,0.0093815,0.0053134,0,0.0016604,0.0070569,0.018099,0.044251,0.048319,0.083022,0.12096,0.28144,0.16438,0.088003,0.044583,0.029971,0.024408,0.017518,0.014197,0.0082192,0.003902,0,0,0,0.0013284,0.0062267,0.014861,0.053466,0.059693,0.082773,0.15077,0.26559,0.18174,0.074637,0.039518,0.02225,0.019676,0.013782,0.0085513,0.0051474,0,0,0,0
0,0.0028227,0.0084682,0.019344,0.027646,0.023827,0.055293,0.090411,0.17003,0.2582,0.12644,0.062599,0.037443,0.029971,0.023661,0.019925,0.015525,0.013699,0.0097136,0.0049813,0,0.0013284,0.0070569,0.018016,0.04367,0.053632,0.080116,0.12453,0.27696,0.16555,0.087339,0.043919,0.029058,0.025903,0.016272,0.014612,0.007721,0.0043171,0,0,0,0.0013284,0.0058946,0.01345,0.052636,0.065587,0.083852,0.14562,0.27065,0.18514,0.066833,0.037775,0.022914,0.019925,0.014363,0.0087173,0.0052304,8.3022e-05,0,0,0
0,0.003902,0.0082192,0.018182,0.02856,0.022333,0.056123,0.08626,0.1746,0.25023,0.1232,0.063678,0.042009,0.033292,0.024159,0.020839,0.015608,0.014529,0.0084682,0.0058115,0,0.0014944,0.007389,0.017103,0.042009,0.053549,0.08269,0.12412,0.27414,0.15683,0.093981,0.046907,0.030469,0.025737,0.016521,0.015276,0.0072229,0.0045662,0,0,0,0.00016604,0.0049813,0.014695,0.051142,0.068161,0.082026,0.1418,0.26883,0.17327,0.083437,0.038439,0.023993,0.02034,0.015027,0.0083022,0.0050643,0.00033209,0,0,0
0,0.0040681,0.0081362,0.018929,0.027148,0.022665,0.05604,0.088501,0.17526,0.24932,0.12611,0.060855,0.041677,0.031714,0.024741,0.020506,0.015442,0.013948,0.0097136,0.0052304,0,0.0012453,0.0084682,0.01594,0.041345,0.054961,0.082607,0.12354,0.27381,0.16048,0.09149,0.046575,0.031714,0.024076,0.017352,0.014778,0.007638,0.0039851,0,0,0,8.3022e-05,0.0059776,0.016189,0.049149,0.066252,0.083852,0.14919,0.26285,0.17858,0.076878,0.03819,0.022997,0.021171,0.01345,0.0096306,0.0054795,8.3022e-05,0,0,0
0,0.0047323,0.007472,0.017269,0.029307,0.021835,0.061104,0.087256,0.17833,0.24682,0.12511,0.062765,0.039186,0.033209,0.021171,0.020091,0.016272,0.013117,0.0094645,0.0054795,0,0.0014944,0.0083022,0.014114,0.043587,0.053383,0.084516,0.12528,0.27563,0.16081,0.089,0.047156,0.02856,0.024575,0.017103,0.013782,0.0089664,0.003736,0,0,0,0,0.0013284,0.01594,0.05413,0.068742,0.085098,0.14927,0.25928,0.18165,0.07721,0.038273,0.023495,0.018929,0.012536,0.0094645,0.0046492,0,0,0,0
0.00025368,0.004989,0.006342,0.018603,0.028497,0.023254,0.0586,0.085743,0.18468,0.25224,0.1221,0.058261,0.03653,0.032809,0.023338,0.019787,0.01632,0.013191,0.0088787,0.0055809,0,0.001353,0.0076949,0.014798,0.042618,0.052934,0.08532,0.12819,0.27659,0.16455,0.08439,0.042787,0.029934,0.025368,0.016912,0.014629,0.0087096,0.0032133,0,0,0,0,0.0018603,0.015897,0.049214,0.069423,0.082615,0.15085,0.26653,0.17859,0.074497,0.040927,0.023254,0.018519,0.012599,0.0091324,0.0054118,0.00067648,0,0,0
8.4559e-05,0.0045662,0.0072721,0.021901,0.025622,0.022408,0.059953,0.087519,0.18028,0.25385,0.1216,0.060883,0.034923,0.032471,0.021985,0.020633,0.015897,0.01353,0.0090479,0.0055809,0,0.001353,0.0077795,0.014882,0.044394,0.050989,0.087012,0.12895,0.27575,0.16472,0.083968,0.042533,0.029173,0.024945,0.017081,0.014121,0.009217,0.0031287,0,0,0,0,0.00084559,0.01446,0.053019,0.071114,0.087181,0.14815,0.27059,0.17732,0.066887,0.039236,0.023677,0.02021,0.013191,0.0088787,0.0050736,0.00016912,0,0,0
0.00025484,0.004842,0.0074754,0.021916,0.02438,0.022171,0.060228,0.090129,0.17788,0.25348,0.12181,0.061672,0.034913,0.03228,0.022256,0.020133,0.0158,0.014441,0.0083248,0.0056065,0,0.0019538,0.00807,0.017414,0.042389,0.051138,0.08911,0.13141,0.27209,0.16216,0.083503,0.041709,0.030326,0.025654,0.017074,0.014271,0.0082399,0.0034828,0,0,0,0,0.0015291,0.016055,0.050883,0.072885,0.089619,0.15155,0.26589,0.1744,0.067023,0.039585,0.022766,0.020048,0.013677,0.0087496,0.0049269,0.00042474,0,0,0
0.00025368,0.0039743,0.0084559,0.02114,0.02393,0.022155,0.057585,0.088872,0.18231,0.25571,0.12168,0.060629,0.034923,0.031879,0.022408,0.020041,0.015052,0.014375,0.0089633,0.0056655,0,0.0010147,0.0085405,0.018011,0.040758,0.05285,0.088111,0.12921,0.27651,0.16472,0.080078,0.042195,0.029342,0.025706,0.016827,0.013614,0.0086251,0.0038897,0,0,0,0,0.001353,0.015136,0.050651,0.074751,0.090732,0.14773,0.26569,0.17867,0.065956,0.039151,0.023677,0.019364,0.014798,0.0084559,0.0038897,0,0,0,0
